Academic Period,Academic Level,Instructional Method,Course Subjects,Section,Course Definition,Abbreviated Title,Description,All Instructors,Enrollment Count,Section Capacity,Section Status,All Conflicting Activity Offerings,Section Details,Locations,Meeting Patterns,Meeting Day Patterns,Start Time,End Time,Subject,Course Number,Section Number,Hidden Course Section
Fall 2023,Undergraduate,Lecture,"American Studies

English

Political Science",AMST 387-01/ ENGL 397-01/ POSC 397-01 - Abiayala: Activism & Lit,AMST 387/ ENGL 397/ POSC 397 - Abiayala: Activism & Lit,Abiayala: Activism & Lit,"(Offered as AMST 387, POSC 397, and LLAS ) This course approaches Abiayala through the lenses of activism and literature. Abiayala, which can be translated as “land in its full maturity” or “land of vital blood,” is how the Kuna peoples (Panama) refer to the continent of the Americas and is increasingly used by Indigenous movements to decolonize epistemologies, or ways of knowing. This course recognizes the constant exchange and overlap between Indigenous activism and literature, analyzing how they nurture each other and at times hide within one another in different regions and across time. The course engages ancestral narratives like the Kiché Maya Popol Wuj as well as queer poetics in contemporary Maya resistance, weaving Zapatista story-telling with Amazonian philosophies. Respecting the relationship between word and image in Indigenous literature, we will engage with a variety of forms, from codices to comics, from epic stories of creation to contemporary poetry, posters and textiles. Experiential learning is a core component of this course. Students will collaborate with the Maya Kaqchikel Council of Elders in restoring relations with their original annals currently held at the American Philosophical Society. They will spend time with the Kim-Wait/Eisenberg Native American Literature Collection in the Frost Library Archives, visit the “Boundless” exhibit of Indigenous art and literature at the Mead Museum, and participate in the Five College Native American and Indigenous Studies Symposium. Students will have the opportunity to engage in exchange with visiting artists, authors and activists, including the Maya weavers of Guatemala who protect their textiles as “the books that colonization was not able to destroy.” 
Limited to 15 students. Preference will be given to English, American Studies, LLAS and Political Science majors and to students pursuing the Five College Native American and Indigenous Studies Certificate. Fall semester. Professor Brooks and Karl Loewenstein Senior Lecturer Picq.
Pending Faculty Approval

How to handle overenrollment: Preference will be given to English, American Studies, LLAS and Political Science majors and to students pursuing the Five College Native American and Indigenous Studies Certificate.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Close reading and visual analysis, archival research, collaborative research and group work, community engagement, field trips.","Lisa Brooks

Manuela Picq",13,15,Open,,Tuesday/Thursday | 1:00 PM - 2:20 PM,,Tuesday/Thursday | 1:00 PM - 2:20 PM,Tuesday/Thursday,10:00,11:20,English,397,01,
Fall 2023,Undergraduate,Lecture,American Studies,AMST 390-01 - Special Topics (Special Topics),AMST 390 - Special Topics,Special Topics,"Independent reading course.
Fall and spring semesters. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: independent research, critical analysis, close reading, and extended writing.",,0,0,Open,,,,,,,,American Studies,390,01,
Fall 2023,Undergraduate,Lecture,"American Studies

Education Studies",AMST 468-01/ EDST 468-01 - Resrch Methods: Amer Cul,AMST 468/ EDST 468 - Resrch Methods: Amer Cul,Resrch Methods: Amer Cul,"(Offered as AMST 468 and EDST 468) This course is designed to provide American Studies majors, as well as Education Studies majors and others, with a methodological grounding to conduct interdisciplinary research. Students will have the opportunity to conduct research on a topic of their own choosing and develop a research prospectus. Students will be exposed to and experiment with a wide range of theoretical and methodological approaches, gain familiarity with methods such as participant observation, interview and oral history practice, and study a range of materials—visual, literary, print, digital, audio—via a traditionally interdisciplinary American Studies praxis. Students will gauge the utility of various theoretical and methodological approaches to determine which are most useful for their own independent work. A major requirement of this course is participation in a ""work-in-progress"" presentation as part of a public mini-conference at the end of the semester.
Limited to 18 students. Open to juniors and seniors as a research seminar; or with consent of the instructor. Fall semester. Professor Sanchez-Eppler and Visiting Professor Luschen.

How to handle overenrollment: Preference will be given to junior and senior American Studies majors, followed by students in Education Studies.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: an emphasis on written work, readings, independent research, oral presentations, group work.","Karen Sanchez-Eppler

Kristen Luschen",7,18,Open,,Wednesday | 2:30 PM - 5:30 PM,,Wednesday | 2:30 PM - 5:30 PM,Wednesday,11:30,14:30,American Studies,468,01,
Fall 2023,Undergraduate,Lecture,American Studies,AMST 490-01 - Special Topics (Special Topics),AMST 490 - Special Topics,Special Topics,"Independent reading course.
Fall and spring semesters. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: independent research, critical analysis, close reading, and extended writing.",,0,0,Open,,,,,,,,American Studies,490,01,
Fall 2023,Undergraduate,Lecture,American Studies,AMST 496-01 - Capstone Project,AMST 496 - Capstone Project,Capstone Project,"A one-semester project—either a shorter essay or some other form of independent interdisciplinary research and production. The capstone project serves as the grounds for a comprehensive evaluation of each student's achievement in the major.
Fall and spring semesters. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: independent research, critical analysis, close reading, and extended writing.",,0,0,Open,,,,,,,,American Studies,496,01,
Fall 2023,Undergraduate,Lecture,American Studies,AMST 498-01 - Senior Honors (Senior Honors),AMST 498 - Senior Honors,Senior Honors,"Fall semester. The Department.

How to handle overenrollment: null

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: independent research, critical analysis, close reading, and extended writing.",,2,0,Open,,,,,,,,American Studies,498,01,
Fall 2023,Undergraduate,Lecture,Anthropology,ANTH 201-01 - Anthro & Science Fiction,ANTH 201 - Anthro & Science Fiction,Anthro & Science Fiction,"How can anthropology help us understand the cultural assumptions, empirical knowledge, and causal and interpretive theories underlying science fiction and related genres such as fantasy, magical realism, and social science fiction? How can anthropology help writers of such genres draw on more valid and plausible assumptions, knowledge, and theories as they build fictional worlds and characters? How can fictional writers’ hypotheses about what events, people, and processes might look like under different conditions, and their efforts to write about such hypotheses in innovative, engaging, and thought-provoking ways, help us think about how anthropologists might write about real-life experiences that differ from those we already understand? This course will help students think about such questions by engaging with anthropological studies and science fiction stories that relate to each other in enlightening ways. We will read and discuss stories that describe how people in a variety of societies might react to experiences that have not yet been documented in our world, as well as anthropological ethnographies of how real people in those same societies deal with analogous experiences in our world. As part of this process, we will discuss the nature and meaning of life, the universe, science, and human behavior, and consider how understandings of anthropology, science fiction, and related genres might help us predict the outcomes of current news events.
Limited to 19 students. Admission with consent of the instructor. Fall semester. Professor Fong.

How to handle overenrollment: Priority given to Anthropology majors and to students who contribute to a balance between different graduation years

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on written work, readings, oral presentations, group work.",Vanessa Fong,32,19,Closed,,Tuesday/Thursday | 8:30 AM - 9:50 AM,,Tuesday/Thursday | 8:30 AM - 9:50 AM,Tuesday/Thursday,05:30,06:50,Anthropology,201,01,
Fall 2023,Undergraduate,Lecture,"Anthropology

Sexuality Wmn's & Gndr Studies

Sociology",ANTH 209-01/ SOCI 207-01/ SWAG 209-01 - Feminist Science Studies,ANTH 209/ SOCI 207/ SWAG 209 - Feminist Science Studies,Feminist Science Studies,"(Offered as ANTH 209, SOCI 207, and SWAG 209) This seminar uses feminist theory and methods to consider scientific practice and the production of scientific knowledge. We will explore how science reflects and reinforces social relations, positions, and hierarchies as well as whether and how scientific practice and knowledge might be made more accurate and socially beneficial. Central to this course is how assumptions about sex, gender and race have shaped what we have come to know as “true,” “natural,” and “fact.” We will explore interdisciplinary works on three main themes: feminist critiques of objectivity; the structure and meanings of natural variations, especially human differences; and challenges to familiar binaries (nature/culture, human/animal, female/male, etc).
Students who completed SWAG 108/ANTH 211 Feminist Science Studies in Fall 2019/20 will need to consult with Professor Karkazis prior to enrolling.
Limited to 20 students with 5 seats reserved for first-year students. Fall and spring semesters. Professor Karkazis.

How to handle overenrollment: Priority given to SWAGS majors; then students will be selected to maximize diversity across major, class year, and institution

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Readings, written work, class lead, oral presentation, analysis.",Katrina Karkazis,16,21,Open,,Tuesday/Thursday | 10:00 AM - 11:20 AM,,Tuesday/Thursday | 10:00 AM - 11:20 AM,Tuesday/Thursday,07:00,08:20,Sexuality Wmn's & Gndr Studies,209,01,
Fall 2023,Undergraduate,Lecture,Anthropology,ANTH 245-01 - Medical Anthropology,ANTH 245 - Medical Anthropology,Medical Anthropology,"The aim of this course is to introduce the ways that medical anthropologists understand illness, suffering, and healing as taking shape amidst a complex interplay of biological, psychological, social, political-economic, and environmental processes. The course is designed to engage a broad range of medical anthropology topics, theoretical approaches, and research techniques by examining case studies concerned with such issues as chronic illness and social suffering, ritual and religious forms of healing, illness and inequality, medicalization, the global AIDS crisis, the social life of new medical technologies, and the politics of global health and humanitarian intervention. A basic premise of the course is that an understanding of illness, health, and the body requires an understanding of the contexts in which they are experienced, contexts contingently shaped by interwoven processes of local, national, and global significance. Particular emphasis will thus be placed on ethnographic approaches to the lived context in which illness and other forms of suffering are experienced, narrated, and addressed. Our focus will be comparative, treating illness, suffering, and healing in a range of societies and settings—from Haiti to China, from urban Brazil to rural Nepal, from the townships of South Africa to genetic labs in the United States.
Limited to 30 students. Fall semester.  Professor C. Dole.

How to handle overenrollment: priority will be given to seniors and majors

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: Emphasis on readings and written work.",Christopher Dole,49,30,Closed,,Monday/Wednesday | 12:30 PM - 1:50 PM,,Monday/Wednesday | 12:30 PM - 1:50 PM,Monday/Wednesday,09:30,10:50,Anthropology,245,01,
Fall 2023,Undergraduate,Lecture,"Anthropology

Asian Languages & Civilization",ANTH 265-01/ ASLC 266-01 - The Middle East,ANTH 265/ ASLC 266 - The Middle East,The Middle East,"(Offered as ANTH 265 and ASLC 266) This course draws on ethnographic writings, documentary film, and literary accounts to examine the everyday realities of people living in the region commonly referred to as the Middle East. Rather than attempting a survey of the entire region, the course explores a number of important themes in the anthropology of the Middle East. These themes include, among others: gender and sexuality, religious piety, urban space, migration, and political protest. By the end of the course, students will have gained an understanding of some of the most pressing issues being faced in the region, and the ways that anthropologists have explored these issues. No previous knowledge of the Middle East or anthropology is assumed.   
Limited to 25 students. Fall semester.   Professor Dole.

How to handle overenrollment: Priority given to majors and second and third year students.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: emphasis on readings, written work, and independent research.",Christopher Dole,3,25,Open,,Monday/Wednesday | 3:00 PM - 4:20 PM,,Monday/Wednesday | 3:00 PM - 4:20 PM,Monday/Wednesday,12:00,13:20,Anthropology,265,01,
Fall 2023,Undergraduate,Lecture,Anthropology,"ANTH 268-01 - Race, Nature, Power","ANTH 268 - Race, Nature, Power","Race, Nature, Power","How do appeals to nature—so called “natural” traits or “essences”—undergird the way race adheres to specific bodies? How does race, in turn, go beyond bodies to mark particular “natural” landscapes and non-human entities as other? In short, how can we understand the historically powerful relationship between race and nature? Drawing on anthropology and critical race studies, this course examines how race and nature work to convey “timeless truths,” inform notions of identity, and justify inequalities. Throughout the semester, we consider how race and nature act through bodies, environments, discourses, and metaphors to create new forms of belonging and exclusion. To these ends, we analyze concepts such as wilderness/wildness, scientific racism, contamination and purity, human-animal relations, sovereignty and nationalism, environmentalism, and environmental disasters to explore how race gets naturalized, and nature racialized.
Limited to 25 students.  Fall semester. Professor Nguyen

How to handle overenrollment: Anthro & Soc majors given first priority, second priority given to balancing out different cohort years 

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: an emphasis on close reading, discussion, and written assignments.",Victoria Nguyen,3,25,Open,,Tuesday/Thursday | 10:00 AM - 11:20 AM,,Tuesday/Thursday | 10:00 AM - 11:20 AM,Tuesday/Thursday,07:00,08:20,Anthropology,268,01,
Fall 2023,Undergraduate,Lecture,Anthropology,ANTH 296-01 - Asian Am. Racialization,ANTH 296 - Asian Am. Racialization,Asian Am. Racialization,"What does it mean to be Asian American today? At once marginalized and woefully unspecific, Asian American identity seems to occupy a purgatorial status in the American racial imagination. How have Asian Americans been understood within, and how do they understand themselves within, white institutions, anti-black hierarchies, and capitalist orders? And what are the cumulative psychic effects of their quotidian, uneventful, and often unspoken racializations? The course begins by engaging a variety of historical events, social movements, racialized imaginaries to consider how Asian American history is vitally shaped by not only repression and assimilation, but also radicalism and innovation. From this foundation, we then examine how Asian American writers, artists, and thinkers reckon with in/visibility, ambiguity, and the “minor intensities” of Asian American life through stories, poetry, film, and visual art. We will engage in close reading and analysis of these materials, with an eye toward their specific social, historical, and political contexts as we read them alongside a range of critical theory on the politics of identity and subjectivity.
 
Limited to 25 students.  Fall semester.  Professor Nguyen.

How to handle overenrollment: Anthropology and Sociology majors given first priority, second priority given to balancing out different cohort years.

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: emphasis on close reading, discussion, and written assignments.",Victoria Nguyen,13,25,Open,,Tuesday/Thursday | 1:00 PM - 2:20 PM,,Tuesday/Thursday | 1:00 PM - 2:20 PM,Tuesday/Thursday,10:00,11:20,Anthropology,296,01,
Fall 2023,Undergraduate,Lecture,"Anthropology

Asian Languages & Civilization",ANTH 317-01/ ASLC 317-01 - Researching China,ANTH 317/ ASLC 317 - Researching China,Researching China,"(Offered as ANTH 317 and ASLC 317) This course teaches students how to design research projects and analyze data about people in China. Students will read about and discuss previous findings from the instructor’s longitudinal project about Chinese only-children and their families, and findings from comparable projects in China and elsewhere. Course assignments will be tailored to the interests, skills, and academic background of each student, so first-year students, sophomores, and students with no Chinese language skills are welcome and just as likely to succeed as juniors, seniors, and students with Chinese language skills. Each student will work not only on assignments suitable for his/her current skills and interests, but also read the work of other students with different skills, interests, and disciplinary knowledge and participate in discussions of their work, so all students will learn about the many different kinds of skills and research methods that can help them gain a better understanding of China.
Requisite: Chinese language skills or ANTH 112, 115, 288, 318, 323, or 332, or a similar course. Admission with consent of the instructor. Limited to 20 students. Fall semester.  Professor Fong.

How to handle overenrollment: Preference will be given to anthropology majors and students who contribute to balance between the different class years represented

Students who enroll in this course will likely encounter and be expected to engage in the following intellectual skills, modes of learning, and assessment: TBA",Vanessa Fong,2,20,Open,,Monday/Wednesday/Friday | 8:30 AM - 9:20 AM,,Monday/Wednesday/Friday | 8:30 AM - 9:20 AM,Monday/Wednesday/Friday,05:30,06:20,Anthropology,317,01,
